Number,player,team,conference,division,age,position,jersey,height
32,Bogdan Bogdanovic,ATL,east,southeast,29,G,13,78
70,Clint Capela,ATL,east,southeast,27,C,15,82
86,Danilo Gallinari,ATL,east,southeast,33,F,8,82
100,De'Andre Hunter,ATL,east,southeast,24,F,12,80
109,Delon Wright,ATL,east,southeast,29,G,0,77
164,Gorgui Dieng,ATL,east,southeast,32,C,10,82
199,Jalen Johnson,ATL,east,southeast,20,F,1,80
235,John Collins,ATL,east,southeast,24,F,20,81
281,Kevin Huerter,ATL,east,southeast,23,G,3,79
282,Kevin Knox II,ATL,east,southeast,22,F,5,79
311,Lou Williams,ATL,east,southeast,35,G,6,74
374,Onyeka Okongwu,ATL,east,southeast,21,F,17,80
425,Sharife Cooper,ATL,east,southeast,20,G,2,73
426,Skylar Mays,ATL,east,southeast,24,G,4,76
450,Timothe Luwawu-Cabarrot,ATL,east,southeast,26,G,7,79
456,Trae Young,ATL,east,southeast,23,G,11,73
13,Andre Drummond,BKN,east,atlantic,28,C,0,82
27,Ben Simmons,BKN,east,atlantic,25,G,10,83
29,Blake Griffin,BKN,east,atlantic,32,F,2,81
44,Bruce Brown,BKN,east,atlantic,25,G,1,76
53,Cam Thomas,BKN,east,atlantic,20,G,24,75
92,David Duke Jr.,BKN,east,atlantic,22,G,6,76
98,Day'Ron Sharpe,BKN,east,atlantic,20,F,20,81
162,Goran Dragic,BKN,east,atlantic,35,G,9,75
206,James Johnson,BKN,east,atlantic,35,F,16,79
230,Joe Harris,BKN,east,atlantic,30,G,12,78
279,Kessler Edwards,BKN,east,atlantic,21,F,14,79
280,Kevin Durant,BKN,east,atlantic,33,F,7,82
297,Kyrie Irving,BKN,east,atlantic,29,G,11,74
298,LaMarcus Aldridge,BKN,east,atlantic,36,C,21,83
363,Nic Claxton,BKN,east,atlantic,22,F,33,83
383,Patty Mills,BKN,east,atlantic,33,G,8,72
422,Seth Curry,BKN,east,atlantic,31,G,30,74
3,Aaron Nesmith,BOS,east,atlantic,22,F,26,77
6,Al Horford,BOS,east,atlantic,35,C,42,81
42,Brodric Thomas,BOS,east,atlantic,25,G,97,77
85,Daniel Theis,BOS,east,atlantic,29,F,27,81
115,Derrick White,BOS,east,atlantic,27,G,9,76
165,Grant Williams,BOS,east,atlantic,23,F,12,78
219,Jaylen Brown,BOS,east,atlantic,25,G,7,78
221,Jayson Tatum,BOS,east,atlantic,23,F,0,80
267,Kelan Martin,BOS,east,atlantic,26,F,21,77
317,Luke Kornet,BOS,east,atlantic,26,C,40,86
322,Malik Fitts,BOS,east,atlantic,24,F,24,77
325,Marcus Smart,BOS,east,atlantic,27,G,36,76
335,Matt Ryan,BOS,east,atlantic,24,F,,79
387,Payton Pritchard,BOS,east,atlantic,24,G,11,73
401,Robert Williams III,BOS,east,atlantic,24,C,44,81
414,Sam Hauser,BOS,east,atlantic,24,F,30,79
20,Arnoldas Kulboka,CHA,east,southeast,24,F,98,82
72,Cody Martin,CHA,east,southeast,26,F,11,78
163,Gordon Hayward,CHA,east,southeast,31,F,20,79
187,JT Thor,CHA,east,southeast,19,F,21,81
200,Jalen McDaniels,CHA,east,southeast,24,F,6,81
204,James Bouknight,CHA,east,southeast,21,G,5,76
262,Kai Jones,CHA,east,southeast,21,C,23,82
271,Kelly Oubre Jr.,CHA,east,southeast,26,F,12,78
299,LaMelo Ball,CHA,east,southeast,20,G,2,79
333,Mason Plumlee,CHA,east,southeast,31,F,24,83
345,Miles Bridges,CHA,east,southeast,23,F,0,79
350,Montrezl Harrell,CHA,east,southeast,28,F,6,79
364,Nick Richards,CHA,east,southeast,24,C,14,84
378,P.J. Washington,CHA,east,southeast,23,F,25,79
418,Scottie Lewis,CHA,east,southeast,21,G,16,77
441,Terry Rozier,CHA,east,southeast,27,G,3,73
9,Alex Caruso,CHI,east,central,28,G,6,77
24,Ayo Dosunmu,CHI,east,central,22,G,12,76
71,Coby White,CHI,east,central,22,G,0,76
104,DeMar DeRozan,CHI,east,central,32,G,11,78
113,Derrick Jones Jr.,CHI,east,central,25,F,5,78
215,Javonte Green,CHI,east,central,28,G,24,77
310,Lonzo Ball,CHI,east,central,24,G,2,78
320,Malcolm Hill,CHI,east,central,26,F,,78
328,Marko Simonovic,CHI,east,central,22,C,19,83
336,Matt Thomas,CHI,east,central,27,G,21,75
368,Nikola Vucevic,CHI,east,central,31,C,9,82
382,Patrick Williams,CHI,east,central,20,F,44,79
453,Tony Bradley,CHI,east,central,24,C,13,82
466,Tristan Thompson,CHI,east,central,30,C,11,81
467,Troy Brown Jr.,CHI,east,central,22,G,7,78
469,Tyler Cook,CHI,east,central,24,F,25,80
493,Zach LaVine,CHI,east,central,26,G,8,77
39,Brandon Goodwin,CLE,east,central,26,G,0,72
56,Caris LeVert,CLE,east,central,27,G,3,78
59,Cedi Osman,CLE,east,central,26,F,16,79
74,Collin Sexton,CLE,east,central,23,G,2,73
91,Darius Garland,CLE,east,central,22,G,10,73
106,Dean Wade,CLE,east,central,25,F,32,81
135,Dylan Windler,CLE,east,central,25,G,9,78
136,Ed Davis,CLE,east,central,32,C,21,81
143,Evan Mobley,CLE,east,central,20,C,4,83
176,Isaac Okoro,CLE,east,central,21,F,35,77
212,Jarrett Allen,CLE,east,central,23,C,31,82
283,Kevin Love,CLE,east,central,33,F,0,80
300,Lamar Stevens,CLE,east,central,24,F,8,78
304,Lauri Markkanen,CLE,east,central,24,F,24,83
393,RJ Nembhard Jr.,CLE,east,central,22,G,5,76
394,Rajon Rondo,CLE,east,central,36,G,1,73
448,Tim Frazier,CLE,east,central,31,G,10,72
30,Boban Marjanovic,DAL,west,southwest,33,C,51,87
96,Davis Bertans,DAL,west,southwest,29,F,42,82
127,Dorian Finney-Smith,DAL,west,southwest,28,F,10,79
134,Dwight Powell,DAL,west,southwest,30,F,7,82
147,Frank Ntilikina,DAL,west,southwest,23,G,21,76
197,Jalen Brunson,DAL,west,southwest,25,G,13,73
248,Josh Green,DAL,west,southwest,21,G,8,77
313,Luka Doncic,DAL,west,southwest,23,F,77,79
330,Marquese Chriss,DAL,west,southwest,24,F,35,81
339,Maxi Kleber,DAL,west,southwest,30,F,42,82
353,Moses Wright,DAL,west,southwest,23,F,,80
396,Reggie Bullock,DAL,west,southwest,30,G,25,78
427,Spencer Dinwiddie,DAL,west,southwest,28,G,26,78
430,Sterling Brown,DAL,west,southwest,27,G,0,77
446,Theo Pinson,DAL,west,southwest,26,G,21,77
449,Tim Hardaway Jr.,DAL,west,southwest,29,G,11,77
463,Trey Burke,DAL,west,southwest,29,G,3,72
1,Aaron Gordon,DEN,west,northwest,26,F,50,80
22,Austin Rivers,DEN,west,northwest,29,G,25,76
35,Bones Hyland,DEN,west,northwest,21,G,3,74
46,Bryn Forbes,DEN,west,northwest,28,G,7,74
97,Davon Reed,DEN,west,northwest,26,G,9,77
105,DeMarcus Cousins,DEN,west,northwest,31,C,4,82
144,Facundo Campazzo,DEN,west,northwest,30,G,7,70
189,JaMychal Green,DEN,west,northwest,31,F,0,80
203,Jamal Murray,DEN,west,northwest,25,G,27,75
222,Jeff Green,DEN,west,northwest,35,F,32,80
329,Markus Howard,DEN,west,northwest,22,G,0,70
341,Michael Porter Jr.,DEN,west,northwest,23,F,1,82
349,Monte Morris,DEN,west,northwest,26,G,11,74
367,Nikola Jokic,DEN,west,northwest,27,C,15,83
481,Vlatko Cancar,DEN,west,northwest,24,F,31,80
485,Will Barton,DEN,west,northwest,31,G,5,77
494,Zeke Nnaji,DEN,west,northwest,21,F,22,81
50,Cade Cunningham,DET,east,central,20,G,2,78
67,Chris Smith,DET,east,central,22,F,0,81
76,Cory Joseph,DET,east,central,30,G,18,75
145,Frank Jackson,DET,east,central,23,G,5,75
168,Hamidou Diallo,DET,east,central,23,G,6,77
180,Isaiah Livers,DET,east,central,23,F,12,78
182,Isaiah Stewart,DET,east,central,20,F,28,80
208,Jamorko Pickett,DET,east,central,24,F,24,81
223,Jerami Grant,DET,east,central,27,F,9,80
270,Kelly Olynyk,DET,east,central,30,F,13,83
288,Killian Hayes,DET,east,central,20,G,7,77
314,Luka Garza,DET,east,central,23,C,55,82
331,Marvin Bagley III,DET,east,central,22,F,35,83
404,Rodney McGruder,DET,east,central,30,G,17,76
412,Saben Lee,DET,east,central,22,G,38,74
413,Saddiq Bey,DET,east,central,22,F,41,79
14,Andre Iguodala,GSW,west,pacific,38,F,9,78
15,Andrew Wiggins,GSW,west,pacific,27,F,22,79
64,Chris Chiozza,GSW,west,pacific,26,G,2,71
83,Damion Lee,GSW,west,pacific,29,G,1,77
129,Draymond Green,GSW,west,pacific,31,F,23,78
156,Gary Payton II,GSW,west,pacific,29,G,0,75
207,James Wiseman,GSW,west,pacific,20,C,33,84
240,Jonathan Kuminga,GSW,west,pacific,19,F,0,79
244,Jordan Poole,GSW,west,pacific,22,G,3,76
255,Juan Toscano-Anderson,GSW,west,pacific,28,F,95,78
285,Kevon Looney,GSW,west,pacific,26,F,5,81
291,Klay Thompson,GSW,west,pacific,32,G,11,78
352,Moses Moody,GSW,west,pacific,19,G,4,77
361,Nemanja Bjelica,GSW,west,pacific,33,F,8,81
376,Otto Porter Jr.,GSW,west,pacific,28,F,32,80
390,Quinndary Weatherspoon,GSW,west,pacific,25,G,15,75
429,Stephen Curry,GSW,west,pacific,33,G,30,74
11,Alperen Sengun,HOU,west,southwest,19,C,28,82
45,Bruno Fernando,HOU,west,southwest,23,F,28,81
68,Christian Wood,HOU,west,southwest,26,F,35,81
79,Daishen Nix,HOU,west,southwest,20,G,15,76
94,David Nwaba,HOU,west,southwest,29,G,2,77
111,Dennis Schroder,HOU,west,southwest,28,G,71,73
140,Eric Gordon,HOU,west,southwest,33,G,10,75
153,Garrison Mathews,HOU,west,southwest,25,G,25,77
194,Jae'Sean Tate,HOU,west,southwest,26,F,8,76
198,Jalen Green,HOU,west,southwest,20,G,0,76
237,John Wall,HOU,west,southwest,31,G,1,75
246,Josh Christopher,HOU,west,southwest,20,G,9,75
277,Kenyon Martin Jr.,HOU,west,southwest,21,F,6,77
284,Kevin Porter Jr.,HOU,west,southwest,21,G,3,76
461,Trevelin Queen,HOU,west,southwest,25,G,21,78
477,Usman Garuba,HOU,west,southwest,19,F,16,80
47,Buddy Hield,IND,east,central,29,G,24,76
65,Chris Duarte,IND,east,central,24,G,3,77
131,Duane Washington Jr.,IND,east,central,21,G,4,75
161,Goga Bitadze,IND,east,central,22,C,88,84
178,Isaiah Jackson,IND,east,central,20,F,23,82
201,Jalen Smith,IND,east,central,21,F,25,82
265,Keifer Sykes,IND,east,central,28,G,28,71
301,Lance Stephenson,IND,east,central,31,F,6,77
319,Malcolm Brogdon,IND,east,central,29,G,7,77
355,Myles Turner,IND,east,central,25,C,33,83
375,Oshae Brissett,IND,east,central,23,F,12,79
399,Ricky Rubio,IND,east,central,31,G,99,74
433,T.J. McConnell,IND,east,central,29,G,9,73
434,T.J. Warren,IND,east,central,28,F,1,80
442,Terry Taylor,IND,east,central,22,F,32,77
472,Tyrese Haliburton,IND,east,central,22,G,0,77
12,Amir Coffey,LAC,west,pacific,24,F,7,79
