Number,player,team,conference,division,age,position,jersey,height
1,Trae Young,ATL,east,southeast,23,G,11,73
2,LaMelo Ball,CHA,east,southeast,20,G,2,79
3,Jimmy Butler,MIA,east,southeast,32,F,22,79
4,Bam Adebayo,MIA,east,southeast,24,C,13,81
5,Bradley Beal,WAS,east,southeast,28,G,3,76
6,Kyrie Irving,BKN,east,atlantic,29,G,11,74
7,Kevin Durant,BKN,east,atlantic,33,F,7,82
8,Jaylen Brown,BOS,east,atlantic,25,G,7,78
9,Jayson Tatum,BOS,east,atlantic,23,F,0,80
10,James Harden,PHI,east,atlantic,32,G,1,77
11,Joel Embiid,PHI,east,atlantic,27,C,21,84
12,Pascal Siakam,TOR,east,atlantic,27,F,43,80
13,DeMar DeRozan,CHI,east,central,32,G,11,78
14,Zach LaVine,CHI,east,central,26,G,8,77
15,Nikola Vucevic,CHI,east,central,31,C,9,82
16,Darius Garland,CLE,east,central,22,G,10,73
17,Jarrett Allen,CLE,east,central,23,C,31,82
18,Jrue Holiday,MIL,east,central,31,G,21,75
19,Khris Middleton,MIL,east,central,30,F,22,79
20,Giannis Antetokounmpo,MIL,east,central,27,F,34,83
21,Luka Doncic,DAL,west,southwest,23,F,77,79
22,Ja Morant,MEM,west,southwest,22,G,12,75
23,Jaren Jackson Jr.,MEM,west,southwest,22,F,13,83
24,CJ McCollum,NOP,west,southwest,30,G,3,75
25,Brandon Ingram,NOP,west,southwest,24,F,14,80
26,Zion Williamson,NOP,west,southwest,21,F,1,78
27,Dejounte Murray,SAS,west,southwest,25,G,5,76
28,Jamal Murray,DEN,west,northwest,25,G,27,75
29,Nikola Jokic,DEN,west,northwest,27,C,15,83
30,D'Angelo Russell,MIN,west,northwest,26,G,0,76
31,Anthony Edwards,MIN,west,northwest,20,G,1,76
32,Karl-Anthony Towns,MIN,west,northwest,26,C,32,83
33,Shai Gilgeous-Alexander,OKC,west,northwest,23,G,2,78
34,Damian Lillard,POR,west,northwest,31,G,0,74
35,Mike Conley,UTA,west,northwest,34,G,11,73
36,Donovan Mitchell,UTA,west,northwest,25,G,45,73
37,Rudy Gobert,UTA,west,northwest,29,C,27,85
38,Stephen Curry,GSW,west,pacific,33,G,30,74
39,Klay Thompson,GSW,west,pacific,32,G,11,78
40,Andrew Wiggins,GSW,west,pacific,27,F,22,79
41,Draymond Green,GSW,west,pacific,31,F,23,78
42,Kawhi Leonard,LAC,west,pacific,30,F,2,79
43,Paul George,LAC,west,pacific,31,F,13,80
44,Russell Westbrook,LAL,west,pacific,33,G,0,75
45,LeBron James,LAL,west,pacific,37,F,6,81
46,Anthony Davis,LAL,west,pacific,28,C,3,82
47,Chris Paul,PHX,west,pacific,36,G,3,72
48,Devin Booker,PHX,west,pacific,25,G,1,77
49,De'Aaron Fox,SAC,west,pacific,24,G,5,75
50,Domantas Sabonis,SAC,west,pacific,25,F,10,83
