Number,player,team,conference,division,age,position,jersey,height
1,Trae Young,ATL,east,southeast,23,G,11,73
2,Bogdan Bogdanovic,ATL,east,southeast,29,G,13,78
3,De'Andre Hunter,ATL,east,southeast,24,F,12,80
4,John Collins,ATL,east,southeast,24,F,20,81
5,Clint Capela,ATL,east,southeast,27,C,15,82
6,LaMelo Ball,CHA,east,southeast,20,G,2,79
7,Terry Rozier,CHA,east,southeast,27,G,3,73
8,Gordon Hayward,CHA,east,southeast,31,F,20,79
9,Miles Bridges,CHA,east,southeast,23,F,0,79
10,Mason Plumlee,CHA,east,southeast,31,F,24,83
11,Kyle Lowry,MIA,east,southeast,35,G,7,72
12,Victor Oladipo,MIA,east,southeast,29,G,4,76
13,Jimmy Butler,MIA,east,southeast,32,F,22,79
14,Markieff Morris,MIA,east,southeast,32,F,8,81
15,Bam Adebayo,MIA,east,southeast,24,C,13,81
16,Cole Anthony,ORL,east,southeast,21,G,50,75
17,Jalen Suggs,ORL,east,southeast,20,G,4,77
18,Franz Wagner,ORL,east,southeast,20,F,22,82
19,Jonathan Isaac,ORL,east,southeast,24,F,1,82
20,Wendell Carter Jr.,ORL,east,southeast,22,C,34,82
21,Kentavious Caldwell-Pope,WAS,east,southeast,29,G,1,77
22,Bradley Beal,WAS,east,southeast,28,G,3,76
23,Kyle Kuzma,WAS,east,southeast,26,F,33,81
24,Kristaps Porzingis,WAS,east,southeast,26,F,6,87
25,Thomas Bryant,WAS,east,southeast,24,C,13,82
26,Ben Simmons,BKN,east,atlantic,25,G,10,83
27,Kyrie Irving,BKN,east,atlantic,29,G,11,74
28,Joe Harris,BKN,east,atlantic,30,G,12,78
29,Kevin Durant,BKN,east,atlantic,33,F,7,82
30,Andre Drummond,BKN,east,atlantic,28,C,0,82
31,Marcus Smart,BOS,east,atlantic,27,G,36,76
32,Jaylen Brown,BOS,east,atlantic,25,G,7,78
33,Jayson Tatum,BOS,east,atlantic,23,F,0,80
34,Al Horford,BOS,east,atlantic,35,C,42,81
35,Robert Williams III,BOS,east,atlantic,24,C,44,81
36,Kemba Walker,NYK,east,atlantic,31,G,8,72
37,RJ Barrett,NYK,east,atlantic,21,F,9,78
38,Evan Fournier,NYK,east,atlantic,29,G,13,78
39,Julius Randle,NYK,east,atlantic,27,F,30,80
40,Mitchell Robinson,NYK,east,atlantic,23,C,23,84
41,Tyrese Maxey,PHI,east,atlantic,21,G,0,74
42,James Harden,PHI,east,atlantic,32,G,1,77
43,Danny Green,PHI,east,atlantic,34,G,14,78
44,Tobias Harris,PHI,east,atlantic,29,F,12,79
45,Joel Embiid,PHI,east,atlantic,27,C,21,84
46,Fred VanVleet,TOR,east,atlantic,28,G,23,73
47,Gary Trent Jr.,TOR,east,atlantic,23,G,33,77
48,OG Anunoby,TOR,east,atlantic,24,F,3,79
49,Pascal Siakam,TOR,east,atlantic,27,F,43,80
50,Khem Birch,TOR,east,atlantic,29,C,24,81
51,Lonzo Ball,CHI,east,central,24,G,2,78
52,DeMar DeRozan,CHI,east,central,32,G,11,78
53,Zach LaVine,CHI,east,central,26,G,8,77
54,Derrick Jones Jr.,CHI,east,central,25,F,5,78
55,Nikola Vucevic,CHI,east,central,31,C,9,82
